Arrival,Dept.,Nights,Room,Total (Rs) (Inclusive of Tax)
18-04-2025,19-04-2025,1.0,115-Family Suite (4B),2856.56
18-04-2025,19-04-2025,1.0,302-Zen Room with Balcony,2730.56
18-04-2025,19-04-2025,1.0,114-Family Suite (4B),5292.0
30-03-2025,31-03-2025,1.0,304-Zen Room with Balcony,0.02
30-03-2025,31-03-2025,1.0,215-Deluxe without Balcony,1500.0
30-03-2025,31-03-2025,1.0,217-Deluxe Room (Non-AC),1138.4
30-03-2025,31-03-2025,1.0,205-Family Suite (3B),4000.0
30-03-2025,31-03-2025,1.0,212-Family Suite (4B),3850.0
01-04-2025,02-04-2025,1.0,210-Deluxe without Balcony,1270.08
02-04-2025,03-04-2025,1.0,210-Deluxe without Balcony,2024.4
30-03-2025,31-03-2025,1.0,219-Deluxe Room (Non-AC),1000.0
30-03-2025,31-03-2025,1.0,206-Executive Suite with Balcony,2850.0
30-03-2025,31-03-2025,1.0,203-Deluxe with Balcony,2426.48
01-04-2025,02-04-2025,1.0,110-Deluxe without Balcony,2394.56
31-03-2025,01-04-2025,1.0,218-Deluxe Room (Non-AC),893.96
31-03-2025,01-04-2025,1.0,214-Deluxe without Balcony,893.96
31-03-2025,02-04-2025,2.0,303-Zen Room with Balcony,4000.0
04-04-2025,05-04-2025,1.0,217-Deluxe Room (Non-AC),1100.0
02-04-2025,04-04-2025,2.0,111-Deluxe without Balcony,3790.6
05-04-2025,06-04-2025,1.0,203-Deluxe with Balcony,3000.0
06-04-2025,08-04-2025,2.0,217-Deluxe Room (Non-AC),2107.92
01-04-2025,02-04-2025,1.0,108-Deluxe without Balcony,1500.0
20-05-2025,22-05-2025,2.0,116-Deluxe Room (Non-AC),3570.0
02-04-2025,03-04-2025,1.0,217-Deluxe Room (Non-AC),1213.25
05-04-2025,06-04-2025,1.0,103-Deluxe with Balcony,4000.0
05-04-2025,06-04-2025,1.0,114-Family Suite (4B),2956.0
05-04-2025,06-04-2025,1.0,102-Deluxe with Balcony,2200.0
05-04-2025,06-04-2025,1.0,115-Family Suite (4B),4000.0
26-04-2025,27-04-2025,1.0,218-Deluxe Room (Non-AC),1176.0
02-04-2025,04-04-2025,2.0,216-Deluxe Room (Non-AC),3150.0
02-04-2025,03-04-2025,1.0,212-Family Suite (4B),3000.0
02-04-2025,03-04-2025,1.0,219-Deluxe Room (Non-AC),1000.0
04-04-2025,06-04-2025,2.0,202-Deluxe with Balcony,4789.12
11-04-2025,13-04-2025,2.0,104-Deluxe with Balcony,3591.84
02-04-2025,03-04-2025,1.0,207-Executive Suite with Balcony,3400.0
05-04-2025,06-04-2025,1.0,201-Deluxe with Balcony,4304.56
15-04-2025,16-04-2025,1.0,217-Deluxe Room (Non-AC),1176.0
11-04-2025,13-04-2025,2.0,202-Deluxe with Balcony,4789.12
11-04-2025,13-04-2025,2.0,203-Deluxe with Balcony,5909.12
03-04-2025,04-04-2025,1.0,210-Deluxe without Balcony,2830.0
03-04-2025,04-04-2025,1.0,101-Deluxe with Balcony,2240.0
04-04-2025,05-04-2025,1.0,216-Deluxe Room (Non-AC),893.96
05-04-2025,06-04-2025,1.0,216-Deluxe Room (Non-AC),893.96
05-04-2025,06-04-2025,1.0,219-Deluxe Room (Non-AC),1470.96
04-04-2025,05-04-2025,1.0,218-Deluxe Room (Non-AC),893.96
04-04-2025,06-04-2025,2.0,206-Executive Suite with Balcony,7471.0
04-04-2025,06-04-2025,2.0,207-Executive Suite with Balcony,10554.0
12-04-2025,13-04-2025,1.0,108-Deluxe without Balcony,1820.3
12-04-2025,13-04-2025,1.0,109-Deluxe without Balcony,1820.3
12-04-2025,13-04-2025,1.0,214-Deluxe without Balcony,1820.3
12-04-2025,13-04-2025,1.0,215-Deluxe without Balcony,1820.3
14-04-2025,16-04-2025,2.0,212-Family Suite (4B),6000.0
04-04-2025,05-04-2025,1.0,219-Deluxe Room (Non-AC),1400.0
10-04-2025,13-04-2025,3.0,304-Zen Room with Balcony,8568.0
10-04-2025,13-04-2025,3.0,305-Zen Room with Balcony,8568.0
10-04-2025,13-04-2025,3.0,306-Zen Room with Balcony,8568.0
10-04-2025,13-04-2025,3.0,307-Zen Room with Balcony,8568.0
10-04-2025,13-04-2025,3.0,308-Zen Room with Balcony,9596.16
10-04-2025,13-04-2025,3.0,312-Zen Room with Balcony,8568.0
10-04-2025,13-04-2025,3.0,310-Zen Room with Balcony,8568.0
10-04-2025,13-04-2025,3.0,311-Zen Room with Balcony,8568.0
12-04-2025,13-04-2025,1.0,115-Family Suite (4B),3500.0
04-04-2025,05-04-2025,1.0,108-Deluxe without Balcony,1500.0
04-04-2025,07-04-2025,3.0,109-Deluxe without Balcony,7404.0
04-04-2025,06-04-2025,2.0,111-Deluxe without Balcony,3888.0
05-04-2025,06-04-2025,1.0,217-Deluxe Room (Non-AC),1191.94
05-04-2025,06-04-2025,1.0,101-Deluxe with Balcony,3140.0
05-04-2025,07-04-2025,2.0,108-Deluxe without Balcony,3888.0
14-04-2025,16-04-2025,2.0,115-Family Suite (4B),9698.5
14-04-2025,15-04-2025,1.0,212-Family Suite (4B),4443.0
05-04-2025,06-04-2025,1.0,104-Deluxe with Balcony,2750.0
05-04-2025,06-04-2025,1.0,210-Deluxe without Balcony,2000.0
26-04-2025,28-04-2025,2.0,204-Deluxe with Balcony,5080.28
06-04-2025,07-04-2025,1.0,101-Deluxe with Balcony,1820.3
05-04-2025,06-04-2025,1.0,105-Family Suite (3B),2500.0
05-04-2025,06-04-2025,1.0,110-Deluxe without Balcony,1700.0
07-04-2025,08-04-2025,1.0,216-Deluxe Room (Non-AC),1758.94
06-04-2025,08-04-2025,2.0,218-Deluxe Room (Non-AC),2703.88
15-04-2025,22-04-2025,7.0,204-Deluxe with Balcony,12571.44
06-04-2025,30-04-2025,24.0,107-Executive Suite with Balcony,56799.0
11-04-2025,13-04-2025,2.0,303-Zen Room with Balcony,5534.08
06-04-2025,08-04-2025,2.0,206-Executive Suite with Balcony,5500.0
26-05-2025,27-05-2025,1.0,216-Deluxe Room (Non-AC),2240.0
26-05-2025,27-05-2025,1.0,219-Deluxe Room (Non-AC),3867.5
07-04-2025,08-04-2025,1.0,219-Deluxe Room (Non-AC),1191.94
07-04-2025,08-04-2025,1.0,102-Deluxe with Balcony,1500.0
07-04-2025,08-04-2025,1.0,103-Deluxe with Balcony,1500.0
11-04-2025,12-04-2025,1.0,219-Deluxe Room (Non-AC),1568.0
10-04-2025,13-04-2025,3.0,207-Executive Suite with Balcony,10080.0
07-04-2025,08-04-2025,1.0,205-Family Suite (3B),2500.0
12-04-2025,14-04-2025,2.0,218-Deluxe Room (Non-AC),4256.0
07-04-2025,08-04-2025,1.0,108-Deluxe without Balcony,2700.0
08-04-2025,09-04-2025,1.0,219-Deluxe Room (Non-AC),1797.4
08-04-2025,09-04-2025,1.0,110-Deluxe without Balcony,1300.0
08-04-2025,10-04-2025,2.0,104-Deluxe with Balcony,2800.0
